Q7Z7A1,CNTRL
Q6NS38,ALKBH2
O95394,PGM3
Q53R41,FASTKD1
Q06330,RBPJ
P35790,CHKA
Q5TA45,CPSF3L
A0A087WSX8,LILRB1
P26022,PTX3
P54277,PMS1
Q8IYA6,CKAP2L
D6RJ90,COMMD10
Q9NPD3,EXOSC4
A0A075B6H6,IGKC
F5H5B9,STAMBP
O00483,NDUFA4
E9PRZ1,SAAL1
P08621,SNRNP70
Q86UX7,FERMT3
Q92890-1,UFD1L
Q14832,GRM3
H0YMB0,IRF9
Q01432,AMPD3
O94868,FCHSD2
Q96T76,MMS19
A0A0A0MR51,FADS1
Q96G74-3,OTUD5
D6RDH9,SNX14
Q9BXJ9,NAA15
Q15048,LRRC14
Q99437,ATP6V0B
M0R2M1,NAPA
Q12906,ILF3
P51805,PLXNA3
F8W8S8,MTMR1
Q5T280,C9orf114
A0A1B0GWA0,ZNF654
K7ELW0,PARK7
E7ETZ8,MAP9
Q8WZ19,KCTD13
C9JVA8,SERPINB8
Q8TED0,UTP15
Q12929,EPS8
Q92733,PRCC
O15530,PDPK1
P53365,ARFIP2
Q6UW02,CYP20A1
D6RC73,CCL28
Q8IXM6,NRM
Q5T4F4,ZFYVE27
O14682,ENC1
Q9H1M0,NUP62CL
Q9UK33,ZNF580
H0Y9B7,LEMD2
Q9HC44,GPBP1L1
A0A0A0MR02,VDAC2
Q13885,TUBB2A
Q9NYY8,FASTKD2
D6RFI0,SFXN1
Q7Z695,ADCK2
Q6ZRQ5,MMS22L
Q9NR45,NANS
P51668,UBE2D1
A0A075B7B4,IKBKE
O43182,ARHGAP6
Q9UKV5,AMFR
E5RHT9,ENY2
B7ZKQ9,SCARB1
A0A0G2JNK5,TSEN34
P13667,PDIA4
Q71UM5,RPS27L
Q8IUC6,TICAM1
Q68D06,SLFN13
Q68DC0,DKFZp781B1423
E7EQI7,WASHC5
E9PGM4,GBE1
P13236,CCL4
A0A0J9YYL3,PUF60
Q9BVA0,KATNB1
Q5I0G2,PRL
Q8N3P4,VPS8
Q7L1T6,CYB5R4
Q8TF40,FNIP1
Q9HBE1,PATZ1
Q8TF46,DIS3L
O00463,TRAF5
H0YL99,MRPS11
Q13105,ZBTB17
Q9Y2I1,NISCH
O15165,LDLRAD4
Q9NQZ2,UTP3
P60510,PPP4C
Q9NRD5,PICK1
Q07666,KHDRBS1
P17858,PFKL
Q96ER9,CCDC51
Q13596,SNX1
Q9BUK0,CHCHD7
Q5T1V6,DDX59
Q9P021,CRIPT
E9PRH5,ZNF692
Q8TBB0,THAP6
Q9Y316,MEMO1
Q76I76-2,SSH2
Q9Y4E8,USP15
Q9BRL7-2,SEC22C
C9JYA1,NUPL2
Q6P0Q8,MAST2
O43513,MED7
O95243,MBD4
Q5J8M3,EMC4
Q86W34,AMZ2
Q9UJA5,TRMT6
Q8N6H7,ARFGAP2
P06756,ITGAV
P18146,EGR1
O00409,FOXN3
E9PJZ4,MED17
P09629,HOXB7
Q9Y2Y4,ZBTB32
P56381,ATP5E
H3BU09,SIAH1
Q8IZD2-6,KMT2E
Q9NUT2,ABCB8
I3L1A4,NFKBIB
Q96SI9,STRBP
Q8IYU8,MICU2
P51826-2,AFF3
O75821,EIF3G
Q9BXS4,TMEM59
Q9H4A6,GOLPH3
Q9C0B5,ZDHHC5
Q13615,MTMR3
H0Y6F5,ZHX3
